Abstract  A quartz crystal microbalance (QCM) sensor for selenite ions in aqueous solution was constructed based on crystal formation of cadmium selenite, immobilized with a self-assembly monolayer (SAM) of phosphorylated 11-mercapto-1-undecanol (MUD) on a QCM gold electrode surface. The mass change caused by the selective adsorption of selenite ions on the cadmium selenite crystals at the solid/solution interface was detected by the QCM. The response (−ΔF) of the modified QCM oscillator increased with increasing selenite ion concentrations in sample solutions, ranging from 9.7×10−5 to 9.0×10−4 M at pH 7.4. The synthetic process of anchoring cadmium selenite crystals on the phosphorylated MUD organic film was also followed by using X-ray photoelectron spectroscopy (XPS) and atomic force microscopy (AFM). The atomic concentrations measured by XPS confirmed the crystal growth of cadmium selenite on the phosphorylated MUD SAM at the QCM gold electrode surface. From the AFM images, changes in surface topographic features were followed: the MUD SAM and phosphorylated MUD on the QCM gold electrode had similar surface roughness; however the difference for the cadmium selenite film on the phosphorylated MUD SAM was clearly seen. The observed QCM frequency change of the modified QCM oscillator per unit time was found to be proportional to the square of the supersaturation of cadmium selenite, indicating the crystal growth of cadmium selenite at the solid/solution interface. The modified QCM oscillator exhibited selectively strong QCM response to SeO3 2− ion. In contrast, the responses to tested interfering anions were almost negligible. The order of anion selectivities of the present modified QCM sensor was SeO3 2−≫CO3 2−>SeO2− 4, SO4 2−, Br−, I−, NO3 −. These selectivities were basically attributable to the differences in solubility products and solubilities for the salts of each anion with cadmium (II) ion.
gold electrode                1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Working_electrode     

solubility products           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Solubility_equilibrium

XPS                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/X-ray_photoelectron_spectroscopy

film                          0.9999999161398172^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Photographic_film     

gold electrode                1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Working_electrode     

QCM                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Quartz_crystal_microbalance

monolayer                     0.9999999999986358^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Monolayer             

selenite                      0.9999701186933476^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Selenous_acid         

ion                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Ion                   

selenite                      0.9999701186933476^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Selenous_acid         

NO3                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Nitrate               

QCM                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Quartz_crystal_microbalance

selenite                      0.9999701186933476^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Selenous_acid         

crystals                      0.9999999999959073^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Crystal               

ions                          0.9999999999995453^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Ion                   

QCM                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Quartz_crystal_microbalance

QCM                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Quartz_crystal_microbalance

phosphorylated                1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Phosphorylation       

atomic force microscopy (AFM) 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Atomic_force_microscopy

topographic                   0.9999774287008083^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Topography            

crystals                      0.9999999999959073^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Crystal               

pH                            0.9999999982501322^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/PH                    

interface                     0.9999999999993179^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Interface_(chemistry) 

QCM                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Quartz_crystal_microbalance

cadmium                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Cadmium               

salts                         0.9999999999595275^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Salt_(chemistry)      

cadmium                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Cadmium               

mass                          0.990459171889334^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Atomic_mass           

synthetic                     0.9999755180449578^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Organic_compound      

anion                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Ion                   

MUD                           0.999979839732481^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/MUD                   

selenite                      0.9999701186933476^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Selenous_acid         

selenite                      0.9999701186933476^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Selenous_acid         

interface                     0.9999999999993179^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Interface_(chemistry) 

film                          0.9999999161398172^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Photographic_film     

solubilities                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Solubility            

sensor                        0.9996740107037222^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sensor                

crystal growth                1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Crystal_growth        

mercapto                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Thiol                 

ion                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Ion                   

selenite                      0.9999701186933476^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Selenous_acid         

aqueous solution              0.9999999923170435^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Aqueous_solution      

X-ray photoelectron spectroscopy1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/X-ray_photoelectron_spectroscopy

crystal growth                1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Crystal_growth        

II                            0.9999947178888202^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/World_War_II          

self-assembly                 0.9999999999711235^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Self-assembly         

surface roughness             0.99999996638303^^http://www.w3.org/2001/XMLSchema#double             http://dbpedia.org/resource/Surface_roughness     

oscillator                    0.9999699511617132^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Oscillation           

QCM                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Quartz_crystal_microbalance

QCM                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Quartz_crystal_microbalance

selenite                      0.9999701186933476^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Selenous_acid         

crystal formation             0.9999984760077285^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/crystallization       

QCM                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Quartz_crystal_microbalance

oscillator                    0.9999699511617132^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Oscillation           

SAM                           0.9408227477385622^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Surface-to-air_missile

phosphorylated                1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Phosphorylation       

SAM                           0.9408227477385622^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Surface-to-air_missile

CO3                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Carbonate             

organic                       0.9999944887342266^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Organic_compound      

cadmium                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Cadmium               

QCM                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Quartz_crystal_microbalance

Br−                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Bromide               

cadmium                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Cadmium               

SeO2                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Selenium_dioxide      

cadmium                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Cadmium               

SeO3                          0.9999999999997726^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Selenium_trioxide     

quartz crystal microbalance   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Quartz_crystal_microbalance

gold electrode                1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Working_electrode     

MUD                           0.999979839732481^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/MUD                   

I−                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Iodide                

phosphorylated                1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Phosphorylation       

QCM                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Quartz_crystal_microbalance

MUD                           0.999979839732481^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/MUD                   

phosphorylated                1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Phosphorylation       

MUD                           0.999979839732481^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/MUD                   

SO4                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Sulfate               

MUD                           0.999979839732481^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/MUD                   

AFM                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Atomic_force_microscopy

supersaturation               1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Supersaturation       

sensor                        0.9996740107037222^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sensor                

